Date	ADA
2022-03-31	
2022-03-30	
2022-03-29	
2022-03-28	
2022-03-27	
2022-03-26	
2022-03-25	
2022-03-24	
2022-03-23	
2022-03-22	
2022-03-21	
2022-03-20	
2022-03-19	
2022-03-18	
2022-03-17	
2022-03-16	
2022-03-15	
2022-03-14	
2022-03-13	
2022-03-12	
2022-03-11	
2022-03-10	
2022-03-09	
2022-03-08	
2022-03-07	
2022-03-06	
2022-03-05	
2022-03-04	
2022-03-03	
2022-03-02	
2022-03-01	
2022-02-28	
2022-02-27	
2022-02-26	
2022-02-25	
2022-02-24	
2022-02-23	
2022-02-22	
2022-02-21	
2022-02-20	
2022-02-19	
2022-02-18	
2022-02-17	
2022-02-16	
2022-02-15	
2022-02-14	
2022-02-13	
2022-02-12	
2022-02-11	
2022-02-10	
2022-02-09	
2022-02-08	
2022-02-07	
2022-02-06	
2022-02-05	
2022-02-04	
2022-02-03	
2022-02-02	
2022-02-01	
2022-01-31	
2022-01-30	
2022-01-29	
2022-01-28	
2022-01-27	
2022-01-26	
2022-01-25	
2022-01-24	
2022-01-23	
2022-01-22	
2022-01-21	
2022-01-20	
2022-01-19	
2022-01-18	
2022-01-17	
2022-01-16	
2022-01-15	
2022-01-14	
2022-01-13	
2022-01-12	
2022-01-11	
2022-01-10	
2022-01-09	
2022-01-08	
2022-01-07	
2022-01-06	
2022-01-05	
2022-01-04	
2022-01-03	
2022-01-02	
2022-01-01	
2021-12-31	
2021-12-30	
2021-12-29	
2021-12-28	
2021-12-27	
2021-12-26	
2021-12-25	
2021-12-24	
2021-12-23	
2021-12-22	
2021-12-21	
2021-12-20	
2021-12-19	
2021-12-18	
2021-12-17	
2021-12-16	
2021-12-15	
2021-12-14	
2021-12-13	
2021-12-12	
2021-12-11	
2021-12-10	
2021-12-09	
2021-12-08	
2021-12-07	
2021-12-06	
2021-12-05	
2021-12-04	
2021-12-03	
2021-12-02	
2021-12-01	
2021-11-30	
2021-11-29	
2021-11-28	
2021-11-27	
2021-11-26	
2021-11-25	
2021-11-24	
2021-11-23	
2021-11-22	
2021-11-21	
2021-11-20	
2021-11-19	
2021-11-18	
2021-11-17	
2021-11-16	
2021-11-15	
2021-11-14	
2021-11-13	
2021-11-12	
2021-11-11	
2021-11-10	
2021-11-09	
2021-11-08	
2021-11-07	
2021-11-06	
2021-11-05	
2021-11-04	
2021-11-03	
2021-11-02	
2021-11-01	
2021-10-31	
2021-10-30	
2021-10-29	
2021-10-28	
2021-10-27	
2021-10-26	
2021-10-25	
2021-10-24	
2021-10-23	
2021-10-22	
2021-10-21	
2021-10-20	
2021-10-19	
2021-10-18	
2021-10-17	
2021-10-16	
2021-10-15	
2021-10-14	
2021-10-13	
2021-10-12	
2021-10-11	
2021-10-10	
2021-10-09	
2021-10-08	
2021-10-07	
2021-10-06	2.233100
2021-10-05	
2021-10-04	
2021-10-03	
2021-10-02	
2021-10-01	
2021-09-30	
2021-09-29	
2021-09-28	
2021-09-27	
2021-09-26	
2021-09-25	
2021-09-24	
2021-09-23	
2021-09-22	
2021-09-21	2.071700
2021-09-20	2.283400
2021-09-19	2.370000
2021-09-18	2.347400
2021-09-17	2.418400
2021-09-16	2.503900
2021-09-15	2.397300
2021-09-14	2.403200
2021-09-13	2.582800
2021-09-12	2.641300
2021-09-11	2.385200
2021-09-10	2.517700
2021-09-09	2.406700
2021-09-08	2.506900
2021-09-07	2.832800
2021-09-06	2.911600
2021-09-05	2.831400
2021-09-04	2.966400
2021-09-03	2.959300
2021-09-02	2.869800
2021-09-01	2.769900
2021-08-31	2.737600
2021-08-30	2.850700
2021-08-29	2.850000
2021-08-28	2.947300
2021-08-27	2.531800
2021-08-26	2.741200
2021-08-25	2.725600
2021-08-24	2.920000
2021-08-23	2.708600
2021-08-22	2.436900
2021-08-21	2.457200
2021-08-20	2.437800
2021-08-19	2.105500
2021-08-18	1.924500
2021-08-17	2.072300
2021-08-16	2.167900
2021-08-15	2.189900
2021-08-14	2.138300
2021-08-13	1.832800
2021-08-12	1.795800
2021-08-11	1.677900
2021-08-10	1.475300
2021-08-09	1.426600
2021-08-08	1.473100
2021-08-07	1.402500
2021-08-06	1.386200
2021-08-05	1.376900
2021-08-04	1.369800
2021-08-03	1.309400
2021-08-02	1.315800
2021-08-01	1.320000
2021-07-31	1.309900
2021-07-30	1.285800
2021-07-29	1.286500
2021-07-28	1.280800
2021-07-27	1.255900
2021-07-26	1.228700
2021-07-25	1.233600
2021-07-24	1.207100
2021-07-23	1.186200
2021-07-22	1.170300
2021-07-21	1.054300
2021-07-20	1.122800
2021-07-19	1.182000
2021-07-18	1.172900
2021-07-17	1.171600
2021-07-16	1.225000
2021-07-15	1.263700
2021-07-14	1.264900
2021-07-13	1.314000
2021-07-12	1.348300
2021-07-11	1.335200
2021-07-10	1.350700
2021-07-09	1.327300
2021-07-08	1.405000
2021-07-07	1.416200
2021-07-06	1.404700
2021-07-05	1.461200
2021-07-04	1.404000
2021-07-03	1.394200
2021-07-02	1.332900
2021-07-01	1.383800
2021-06-30	1.373000
2021-06-29	1.325500
2021-06-28	1.337100
2021-06-27	1.251800
2021-06-26	1.254300
2021-06-25	1.359500
2021-06-24	1.251400
2021-06-23	1.155800
2021-06-22	1.175200
2021-06-21	1.427000
2021-06-20	1.387400
2021-06-19	1.417600
2021-06-18	1.482800
2021-06-17	1.484600
2021-06-16	1.556600
2021-06-15	1.573900
2021-06-14	1.557000
2021-06-13	1.480500
2021-06-12	1.437700
2021-06-11	1.533100
2021-06-10	1.627800
2021-06-09	1.583500
2021-06-08	1.567100
2021-06-07	1.677200
2021-06-06	1.656500
2021-06-05	1.709900
2021-06-04	1.846700
2021-06-03	1.754600
2021-06-02	1.736100
2021-06-01	1.738400
2021-05-31	1.575600
2021-05-30	1.404300
2021-05-29	1.513600
2021-05-28	1.650600
2021-05-27	1.781100
2021-05-26	1.554500
2021-05-25	1.550400
2021-05-24	1.316200
2021-05-23	1.4657
2021-05-22	1.5531
2021-05-21	1.8026
2021-05-20	1.472
2021-05-19	2.0066
2021-05-18	2.0281
2021-05-17	2.3002
2021-05-16	2.1714
2021-05-15	2.0066
2021-05-14	1.9273
2021-05-13	1.5053
2021-05-12	1.7635
2021-05-11	1.6417
2021-05-10	1.7661
2021-05-09	1.6203
2021-05-08	1.6545
2021-05-07	1.6487
2021-05-06	1.4781
2021-05-05	1.271
2021-05-04	1.3629
2021-05-03	1.3225
2021-05-02	1.3514
2021-05-01	1.3524
2021-04-30	1.3062
2021-04-29	1.3371
2021-04-28	1.306
2021-04-27	1.2376
2021-04-26	1.0902
2021-04-25	1.1027
2021-04-24	1.1588
2021-04-23	1.1458
2021-04-22	1.2039
2021-04-21	1.2677
2021-04-20	1.1946
2021-04-19	1.278
2021-04-18	1.3862
2021-04-17	1.4138
2021-04-16	1.4796
2021-04-15	1.4538
2021-04-14	1.411
2021-04-13	1.3149
2021-04-12	1.2662
2021-04-11	1.2184
2021-04-10	1.2035
2021-04-09	1.2195
2021-04-08	1.1761
2021-04-07	1.2555
2021-04-06	1.2143
2021-04-05	1.1916
2021-04-04	1.173
2021-04-03	1.1963
2021-04-02	1.1892
2021-04-01	1.1936
2021-03-31	1.2137
2021-03-30	1.2026
2021-03-29	1.191
2021-03-28	1.1768
2021-03-27	1.2141
2021-03-26	1.1014
2021-03-25	1.0745
2021-03-24	1.1213
2021-03-23	1.1093
2021-03-22	1.1892
2021-03-21	1.2064
2021-03-20	1.3015
2021-03-19	1.2386
2021-03-18	1.3784
2021-03-17	1.2436
2021-03-16	1.0332
2021-03-15	1.0586
2021-03-14	1.103
2021-03-13	1.0389
2021-03-12	1.1248
2021-03-11	1.1344
2021-03-10	1.1951
2021-03-09	1.1181
2021-03-08	1.1329
2021-03-07	1.1308
2021-03-06	1.1675
2021-03-05	1.1146
2021-03-04	1.2164
2021-03-03	1.2257
2021-03-02	1.2936
2021-03-01	1.3098
2021-02-28	1.3236
2021-02-27	1.2421
2021-02-26	1.0808
2021-02-25	1.0513
2021-02-24	0.955
2021-02-23	1.0988
2021-02-22	1.1004
2021-02-21	1.1216
2021-02-20	0.9275
2021-02-19	0.9143
2021-02-18	0.8909
2021-02-17	0.8709
2021-02-16	0.8607
2021-02-15	0.8478
2021-02-14	0.9063
2021-02-13	0.9254
2021-02-12	0.9271
2021-02-11	0.9308
2021-02-10	0.7035
2021-02-09	0.6821
2021-02-08	0.6624
2021-02-07	0.6288
2021-02-06	0.5378
2021-02-05	0.4411
2021-02-04	0.4414
2021-02-03	0.426
2021-02-02	0.403
2021-02-01	0.3448
2021-01-31	0.3626
2021-01-30	0.3481
2021-01-29	0.3523
2021-01-28	0.313
2021-01-27	0.3442
2021-01-26	0.3438
2021-01-25	0.3539
2021-01-24	0.3456
2021-01-23	0.3493
2021-01-22	0.3101
2021-01-21	0.3754
2021-01-20	0.3689
2021-01-19	0.3715
2021-01-18	0.3797
2021-01-17	0.3523
2021-01-16	0.3025
2021-01-15	0.3106
2021-01-14	0.3135
2021-01-13	0.2867
2021-01-12	0.2752
2021-01-11	0.305
2021-01-10	0.333
2021-01-09	0.3056
2021-01-08	0.3004
2021-01-07	0.3323
2021-01-06	0.2585
2021-01-05	0.2248
2021-01-04	0.2052
2021-01-03	0.1774
2021-01-02	0.1754
2021-01-01	0.1814
2020-12-31	
2020-12-30	
2020-12-29	
2020-12-28	
2020-12-27	
2020-12-26	
2020-12-25	
2020-12-24	
2020-12-23	
2020-12-22	
2020-12-21	
2020-12-20	
2020-12-19	
2020-12-18	
2020-12-17	
2020-12-16	
2020-12-15	
2020-12-14	
2020-12-13	
2020-12-12	
2020-12-11	
2020-12-10	
2020-12-09	
2020-12-08	
2020-12-07	
2020-12-06	
2020-12-05	
2020-12-04	
2020-12-03	
2020-12-02	
2020-12-01	
2020-11-30	
2020-11-29	
2020-11-28	
2020-11-27	
2020-11-26	
2020-11-25	
2020-11-24	
2020-11-23	
2020-11-22	
2020-11-21	
2020-11-20	
2020-11-19	
2020-11-18	
2020-11-17	
2020-11-16	
2020-11-15	
2020-11-14	
2020-11-13	
2020-11-12	
2020-11-11	
2020-11-10	
2020-11-09	
2020-11-08	
2020-11-07	
2020-11-06	
2020-11-05	
2020-11-04	
