Date	AVAX
2022-03-31	
2022-03-30	
2022-03-29	
2022-03-28	
2022-03-27	
2022-03-26	
2022-03-25	
2022-03-24	
2022-03-23	
2022-03-22	
2022-03-21	
2022-03-20	
2022-03-19	
2022-03-18	
2022-03-17	
2022-03-16	
2022-03-15	
2022-03-14	
2022-03-13	
2022-03-12	
2022-03-11	
2022-03-10	
2022-03-09	
2022-03-08	
2022-03-07	
2022-03-06	
2022-03-05	
2022-03-04	
2022-03-03	
2022-03-02	
2022-03-01	84.35
2022-02-28	74.98
2022-02-27	81.79
2022-02-26	80.85
2022-02-25	76.54
2022-02-24	73.67
2022-02-23	74.54
2022-02-22	70
2022-02-21	77.3
2022-02-20	85.11
2022-02-19	83.82
2022-02-18	88.22
2022-02-17	95.25
2022-02-16	92.75
2022-02-15	82.03
2022-02-14	78.2
2022-02-13	81.21
2022-02-12	81.76
2022-02-11	91.17
2022-02-10	90.03
2022-02-09	86.55
2022-02-08	83.22
2022-02-07	78.8
2022-02-06	77.24
2022-02-05	77.47
2022-02-04	68.11
2022-02-03	67.86
2022-02-02	73.43
2022-02-01	69.98
2022-01-31	67.98
2022-01-30	72.11
2022-01-29	67.12
2022-01-28	64.64
2022-01-27	65.97
2022-01-26	67.89
2022-01-25	62.9
2022-01-24	64.75
2022-01-23	59.79
2022-01-22	65.97
2022-01-21	79.14
2022-01-20	82.9
2022-01-19	86.02
2022-01-18	86.75
2022-01-17	92.26
2022-01-16	93.3
2022-01-15	90.35
2022-01-14	89.48
2022-01-13	95.82
2022-01-12	89.52
2022-01-11	84.53
2022-01-10	89.26
2022-01-09	84.05
2022-01-08	86.75
2022-01-07	95.18
2022-01-06	97.83
2022-01-05	103.26
2022-01-04	108.15
2022-01-03	113.17
2022-01-02	114.2
2022-01-01	109.38
2021-12-31	101.85
2021-12-30	103.10
2021-12-29	107.12
2021-12-28	113.76
2021-12-27	115.11
2021-12-26	115.01
2021-12-25	115.06
2021-12-24	121.40
2021-12-23	116.73
2021-12-22	123.38
2021-12-21	113.40
2021-12-20	107.68
2021-12-19	115.85
2021-12-18	111.01
2021-12-17	98.18
2021-12-16	101.21
2021-12-15	87.27
2021-12-14	79.05
2021-12-13	88.10
2021-12-12	86.43
2021-12-11	80.79
2021-12-10	85.56
2021-12-09	93.03
2021-12-08	89.69
2021-12-07	93.35
2021-12-06	86.48
2021-12-05	93.02
2021-12-04	108.74
2021-12-03	107.87
2021-12-02	119.68
2021-12-01	120.25
2021-11-30	120.44
2021-11-29	110.50
2021-11-28	113.75
2021-11-27	104.30
2021-11-26	119.16
2021-11-25	115.09
2021-11-24	123.88
2021-11-23	134.87
2021-11-22	128.78
2021-11-21	125.83
2021-11-20	112.08
2021-11-19	100.46
2021-11-18	107.58
2021-11-17	98.03
2021-11-16	94.03
2021-11-15	95.42
2021-11-14	97.56
2021-11-13	84.80
2021-11-12	87.88
2021-11-11	85.38
2021-11-10	88.30
2021-11-09	91.07
2021-11-08	87.71
2021-11-07	78.81
2021-11-06	74.30
2021-11-05	79.05
2021-11-04	75.58
2021-11-03	67.77
2021-11-02	64.97
2021-11-01	64.50
2021-10-31	62.31
2021-10-30	64.73
2021-10-29	64.38
2021-10-28	61.53
2021-10-27	68.67
2021-10-26	69.71
2021-10-25	64.55
2021-10-24	65.44
2021-10-23	65.53
2021-10-22	61.45
2021-10-21	59.63
2021-10-20	56.81
2021-10-19	55.53
2021-10-18	56.04
2021-10-17	57.57
2021-10-16	56.31
2021-10-15	56.18
2021-10-14	54.99
2021-10-13	54.35
2021-10-12	55.34
2021-10-11	56.59
2021-10-10	60.57
2021-10-09	60.40
2021-10-08	61.52
2021-10-07	60.03
2021-10-06	64.60
2021-10-05	65.25
2021-10-04	68.68
2021-10-03	69.13
2021-10-02	67.63
2021-10-01	66.63
2021-09-30	65.51
2021-09-29	61.60
2021-09-28	66.37
2021-09-27	66.88
2021-09-26	68.35
2021-09-25	72.39
2021-09-24	76.46
2021-09-23	74.09
2021-09-22	58.98
2021-09-21	57.33
2021-09-20	70.09
2021-09-19	68.86
2021-09-18	70.07
2021-09-17	67.67
2021-09-16	57.89
2021-09-15	51.50
2021-09-14	53.20
2021-09-13	59.30
2021-09-12	57.10
2021-09-11	49.48
2021-09-10	40.73
2021-09-09	36.58
2021-09-08	37.66
2021-09-07	47.09
2021-09-06	48.15
2021-09-05	47.20
2021-09-04	45.90
2021-09-03	47.65
2021-09-02	42.48
2021-09-01	39.54
2021-08-31	41.46
2021-08-30	47.48
2021-08-29	50.24
2021-08-28	50.14
2021-08-27	41.37
2021-08-26	46.26
2021-08-25	55.57
2021-08-24	46.52
2021-08-23	43.63
2021-08-22	43.73
2021-08-21	39.13
2021-08-20	30.67
2021-08-19	30.04
2021-08-18	23.43
2021-08-17	19.08
2021-08-16	18.77
2021-08-15	18.11
2021-08-14	18.03
2021-08-13	16.60
2021-08-12	16.73
2021-08-11	16.43
2021-08-10	16.18
2021-08-09	14.81
2021-08-08	15.84
2021-08-07	14.76
2021-08-06	13.83
2021-08-05	13.70
2021-08-04	12.56
2021-08-03	13.00
2021-08-02	12.86
2021-08-01	13.53
2021-07-31	12.98
2021-07-30	12.43
2021-07-29	12.32
2021-07-28	11.93
2021-07-27	11.46
2021-07-26	11.25
2021-07-25	11.15
2021-07-24	11.07
2021-07-23	10.84
2021-07-22	10.43
2021-07-21	9.64
2021-07-20	10.18
2021-07-19	10.70
2021-07-18	10.96
2021-07-17	10.81
2021-07-16	11.39
2021-07-15	11.80
2021-07-14	11.90
2021-07-13	12.16
2021-07-12	12.43
2021-07-11	12.02
2021-07-10	12.55
2021-07-09	12.10
2021-07-08	13.11
2021-07-07	13.35
2021-07-06	12.05
2021-07-05	12.34
2021-07-04	11.50
2021-07-03	11.11
2021-07-02	11.22
2021-07-01	11.95
2021-06-30	11.93
2021-06-29	11.30
2021-06-28	10.95
2021-06-27	10.33
2021-06-26	10.24
2021-06-25	11.49
2021-06-24	11.47
2021-06-23	10.55
2021-06-22	11.19
2021-06-21	13.93
2021-06-20	13.40
2021-06-19	13.64
2021-06-18	14.86
2021-06-17	14.08
2021-06-16	14.72
2021-06-15	15.07
2021-06-14	14.75
2021-06-13	13.53
2021-06-12	13.42
2021-06-11	14.20
2021-06-10	15.39
2021-06-09	14.81
2021-06-08	15.55
2021-06-07	17.40
2021-06-06	17.24
2021-06-05	18.26
2021-06-04	20.28
2021-06-03	18.70
2021-06-02	17.75
2021-06-01	18.16
2021-05-31	16.52
2021-05-30	16.18
2021-05-29	16.73
2021-05-28	19.07
2021-05-27	20.83
2021-05-26	19.49
2021-05-25	19.39
2021-05-24	15.63
2021-05-23	18.85
2021-05-22	21.87
2021-05-21	25.10
2021-05-20	23.13
2021-05-19	36.98
2021-05-18	33.63
2021-05-17	36.55
2021-05-16	34.43
2021-05-15	36.95
2021-05-14	35.04
2021-05-13	32.81
2021-05-12	36.76
2021-05-11	34.69
2021-05-10	38.93
2021-05-09	38.40
2021-05-08	37.90
2021-05-07	37.97
2021-05-06	35.25
2021-05-05	30.29
2021-05-04	35.88
2021-05-03	31.32
2021-05-02	31.79
2021-05-01	32.90
2021-04-30	27.93
2021-04-29	28.30
2021-04-28	27.92
2021-04-27	26.47
2021-04-26	21.62
2021-04-25	21.83
2021-04-24	23.58
2021-04-23	23.99
2021-04-22	25.83
2021-04-21	27.41
2021-04-20	26.14
2021-04-19	29.29
2021-04-18	34.36
2021-04-17	35.54
2021-04-16	37.02
2021-04-15	38.42
2021-04-14	33.64
2021-04-13	33.80
2021-04-12	31.67
2021-04-11	31.80
2021-04-10	31.54
2021-04-09	
2021-04-08	
2021-04-07	
2021-04-06	
2021-04-05	
2021-04-04	
2021-04-03	
2021-04-02	
2021-04-01	
2021-03-31	
2021-03-30	
2021-03-29	
2021-03-28	
2021-03-27	
2021-03-26	
2021-03-25	
2021-03-24	
2021-03-23	
2021-03-22	
2021-03-21	
2021-03-20	
2021-03-19	
2021-03-18	
2021-03-17	
2021-03-16	
2021-03-15	
2021-03-14	
2021-03-13	
2021-03-12	
2021-03-11	
2021-03-10	
2021-03-09	
2021-03-08	
2021-03-07	
2021-03-06	
2021-03-05	
2021-03-04	
2021-03-03	
2021-03-02	
2021-03-01	
2021-02-28	
2021-02-27	
2021-02-26	
2021-02-25	
2021-02-24	
2021-02-23	
2021-02-22	
2021-02-21	
2021-02-20	
2021-02-19	
2021-02-18	
2021-02-17	
2021-02-16	
2021-02-15	
2021-02-14	
2021-02-13	
2021-02-12	
2021-02-11	
2021-02-10	
2021-02-09	
2021-02-08	
2021-02-07	
2021-02-06	
2021-02-05	
2021-02-04	
2021-02-03	
2021-02-02	
2021-02-01	
2021-01-31	
2021-01-30	
2021-01-29	
2021-01-28	
2021-01-27	
2021-01-26	
2021-01-25	
2021-01-24	
2021-01-23	
2021-01-22	
2021-01-21	
2021-01-20	
2021-01-19	
2021-01-18	
2021-01-17	
2021-01-16	
2021-01-15	
2021-01-14	
2021-01-13	
2021-01-12	
2021-01-11	
2021-01-10	
2021-01-09	
2021-01-08	
2021-01-07	
2021-01-06	
2021-01-05	
2021-01-04	
2021-01-03	
2021-01-02	
2021-01-01	
2020-12-31	
2020-12-30	
2020-12-29	
2020-12-28	
2020-12-27	
2020-12-26	
2020-12-25	
2020-12-24	
2020-12-23	
2020-12-22	
2020-12-21	
2020-12-20	
2020-12-19	
2020-12-18	
2020-12-17	
2020-12-16	
2020-12-15	
2020-12-14	
2020-12-13	
2020-12-12	
2020-12-11	
2020-12-10	
2020-12-09	
2020-12-08	
2020-12-07	
2020-12-06	
2020-12-05	
2020-12-04	
2020-12-03	
2020-12-02	
2020-12-01	
2020-11-30	
2020-11-29	
2020-11-28	
2020-11-27	
2020-11-26	
2020-11-25	
2020-11-24	
2020-11-23	
2020-11-22	
2020-11-21	
2020-11-20	
2020-11-19	
2020-11-18	
2020-11-17	
2020-11-16	
2020-11-15	
2020-11-14	
2020-11-13	
2020-11-12	
2020-11-11	
2020-11-10	
2020-11-09	
2020-11-08	
2020-11-07	
2020-11-06	
2020-11-05	
2020-11-04	
