Date	DOGE
2022-03-31	
2022-03-30	
2022-03-29	
2022-03-28	
2022-03-27	
2022-03-26	
2022-03-25	
2022-03-24	
2022-03-23	
2022-03-22	
2022-03-21	
2022-03-20	
2022-03-19	
2022-03-18	
2022-03-17	
2022-03-16	
2022-03-15	
2022-03-14	
2022-03-13	
2022-03-12	
2022-03-11	
2022-03-10	
2022-03-09	
2022-03-08	
2022-03-07	
2022-03-06	
2022-03-05	
2022-03-04	
2022-03-03	
2022-03-02	
2022-03-01	
2022-02-28	
2022-02-27	
2022-02-26	
2022-02-25	
2022-02-24	
2022-02-23	
2022-02-22	
2022-02-21	
2022-02-20	
2022-02-19	
2022-02-18	
2022-02-17	
2022-02-16	
2022-02-15	
2022-02-14	
2022-02-13	
2022-02-12	
2022-02-11	
2022-02-10	
2022-02-09	
2022-02-08	
2022-02-07	
2022-02-06	
2022-02-05	
2022-02-04	
2022-02-03	
2022-02-02	
2022-02-01	
2022-01-31	
2022-01-30	
2022-01-29	
2022-01-28	
2022-01-27	
2022-01-26	
2022-01-25	
2022-01-24	
2022-01-23	
2022-01-22	
2022-01-21	
2022-01-20	
2022-01-19	
2022-01-18	
2022-01-17	
2022-01-16	
2022-01-15	
2022-01-14	
2022-01-13	
2022-01-12	
2022-01-11	
2022-01-10	
2022-01-09	
2022-01-08	
2022-01-07	
2022-01-06	
2022-01-05	
2022-01-04	
2022-01-03	
2022-01-02	
2022-01-01	
2021-12-31	
2021-12-30	
2021-12-29	
2021-12-28	
2021-12-27	
2021-12-26	
2021-12-25	
2021-12-24	
2021-12-23	
2021-12-22	
2021-12-21	
2021-12-20	
2021-12-19	
2021-12-18	
2021-12-17	
2021-12-16	
2021-12-15	
2021-12-14	
2021-12-13	
2021-12-12	
2021-12-11	
2021-12-10	
2021-12-09	
2021-12-08	
2021-12-07	
2021-12-06	
2021-12-05	
2021-12-04	
2021-12-03	
2021-12-02	
2021-12-01	
2021-11-30	
2021-11-29	
2021-11-28	
2021-11-27	
2021-11-26	
2021-11-25	
2021-11-24	
2021-11-23	
2021-11-22	
2021-11-21	
2021-11-20	
2021-11-19	
2021-11-18	
2021-11-17	
2021-11-16	
2021-11-15	
2021-11-14	
2021-11-13	
2021-11-12	
2021-11-11	
2021-11-10	
2021-11-09	
2021-11-08	
2021-11-07	
2021-11-06	
2021-11-05	
2021-11-04	
2021-11-03	
2021-11-02	
2021-11-01	
2021-10-31	
2021-10-30	
2021-10-29	
2021-10-28	
2021-10-27	
2021-10-26	
2021-10-25	
2021-10-24	
2021-10-23	
2021-10-22	
2021-10-21	
2021-10-20	
2021-10-19	
2021-10-18	
2021-10-17	
2021-10-16	
2021-10-15	
2021-10-14	
2021-10-13	
2021-10-12	
2021-10-11	
2021-10-10	
2021-10-09	
2021-10-08	
2021-10-07	
2021-10-06	
2021-10-05	
2021-10-04	
2021-10-03	
2021-10-02	
2021-10-01	
2021-09-30	
2021-09-29	
2021-09-28	
2021-09-27	
2021-09-26	
2021-09-25	
2021-09-24	
2021-09-23	
2021-09-22	
2021-09-21	0.208235
2021-09-20	0.233161
2021-09-19	0.241281
2021-09-18	0.239928
2021-09-17	0.242098
2021-09-16	0.247542
2021-09-15	0.24059
2021-09-14	0.236063
2021-09-13	0.250624
2021-09-12	0.241329
2021-09-11	0.239826
2021-09-10	0.252585
2021-09-09	0.250362
2021-09-08	0.254266
2021-09-07	0.308951
2021-09-06	0.314315
2021-09-05	0.299324
2021-09-04	0.296068
2021-09-03	0.294754
2021-09-02	0.294393
2021-09-01	0.278062
2021-08-31	0.271878
2021-08-30	0.281233
2021-08-29	0.285863
2021-08-28	0.294631
2021-08-27	0.268819
2021-08-26	0.292794
2021-08-25	0.289218
2021-08-24	0.318386
2021-08-23	0.314926
2021-08-22	0.317085
2021-08-21	0.327395
2021-08-20	0.317571
2021-08-19	0.303376
2021-08-18	0.299203
2021-08-17	0.319631
2021-08-16	0.340165
2021-08-15	0.294086
2021-08-14	0.286801
2021-08-13	0.264249
2021-08-12	0.264853
2021-08-11	0.257424
2021-08-10	0.256366
2021-08-09	0.240122
2021-08-08	0.261956
2021-08-07	0.204846
2021-08-06	0.20096
2021-08-05	0.201575
2021-08-04	0.196312
2021-08-03	0.203431
2021-08-02	0.204279
2021-08-01	0.207753
2021-07-31	0.208638
2021-07-30	0.205023
2021-07-29	0.205591
2021-07-28	0.206111
2021-07-27	0.203836
2021-07-26	0.19803
2021-07-25	0.197173
2021-07-24	0.194823
2021-07-23	0.191359
2021-07-22	0.19048
2021-07-21	0.170527
2021-07-20	0.173763
2021-07-19	0.181818
2021-07-18	0.186841
2021-07-17	0.172118
2021-07-16	0.185238
2021-07-15	0.197749
2021-07-14	0.199978
2021-07-13	0.208009
2021-07-12	0.21601
2021-07-11	0.213887
2021-07-10	0.219846
2021-07-09	0.207073
2021-07-08	0.224383
2021-07-07	0.234301
2021-07-06	0.231216
2021-07-05	0.246419
2021-07-04	0.246425
2021-07-03	0.245106
2021-07-02	0.243982
2021-07-01	0.253828
2021-06-30	0.263417
2021-06-29	0.257061
2021-06-28	0.264918
2021-06-27	0.246045
2021-06-26	0.237673
2021-06-25	0.26348
2021-06-24	0.23497
2021-06-23	0.190671
2021-06-22	0.178682
2021-06-21	0.28066
2021-06-20	0.286394
2021-06-19	0.293649
2021-06-18	0.306428
2021-06-17	0.307749
2021-06-16	0.320378
2021-06-15	0.326785
2021-06-14	0.323903
2021-06-13	0.312485
2021-06-12	0.318893
2021-06-11	0.326364
2021-06-10	0.343339
2021-06-09	0.326423
2021-06-08	0.331822
2021-06-07	0.371566
2021-06-06	0.371676
2021-06-05	0.376752
2021-06-04	0.400982
2021-06-03	0.423739
2021-06-02	0.370302
2021-06-01	0.325744
2021-05-31	0.301949
2021-05-30	0.302969
2021-05-29	0.311398
2021-05-28	0.333651
2021-05-27	0.353463
2021-05-26	0.346396
2021-05-25	0.366041
2021-05-24	0.306715
2021-05-23	0.342522
2021-05-22	0.358717
2021-05-21	0.398124
2021-05-20	0.330252
2021-05-19	0.476435
2021-05-18	0.486954
2021-05-17	0.513413
2021-05-16	0.50791
2021-05-15	0.559668
2021-05-14	0.48707
2021-05-13	0.3663
2021-05-12	0.4937
2021-05-11	0.4505
2021-05-10	0.5697
2021-05-09	0.6358
2021-05-08	0.6878
2021-05-07	0.5811
2021-05-06	0.6528
2021-05-05	0.5374
2021-05-04	0.4466
2021-05-03	0.3754
2021-05-02	0.3911
2021-05-01	0.3376
2021-04-30	0.3047
2021-04-29	0.3232
2021-04-28	0.2723
2021-04-27	0.2714
2021-04-26	0.2512
2021-04-25	0.2698
2021-04-24	0.2495
2021-04-23	0.261
2021-04-22	0.306
2021-04-21	0.317
2021-04-20	0.4084
2021-04-19	0.3205
2021-04-18	0.2851
2021-04-17	0.3661
2021-04-16	0.1816
2021-04-15	0.1212
2021-04-14	0.0943
2021-04-13	0.0707
2021-04-12	0.0745
2021-04-11	0.0637
2021-04-10	0.0616
2021-04-09	0.0615
2021-04-08	0.059
2021-04-07	0.0645
2021-04-06	0.0597
2021-04-05	0.0574
2021-04-04	0.0558
2021-04-03	0.0577
2021-04-02	0.062
2021-04-01	0.0537
2021-03-31	0.0539
2021-03-30	0.0541
2021-03-29	0.0537
2021-03-28	0.0544
2021-03-27	0.0539
2021-03-26	0.0514
2021-03-25	0.0517
2021-03-24	0.0535
2021-03-23	0.0549
2021-03-22	0.0573
2021-03-21	0.059
2021-03-20	0.0583
2021-03-19	0.0574
2021-03-18	0.0576
2021-03-17	0.0586
2021-03-16	0.0571
2021-03-15	0.0585
2021-03-14	0.0624
2021-03-13	0.0554
2021-03-12	0.0559
2021-03-11	0.056
2021-03-10	0.058
2021-03-09	0.0621
2021-03-08	0.0521
2021-03-07	0.051
2021-03-06	0.0496
2021-03-05	0.05
2021-03-04	0.0506
2021-03-03	0.0503
2021-03-02	0.0506
2021-03-01	0.0481
2021-02-28	0.0501
2021-02-27	0.0505
2021-02-26	0.0501
2021-02-25	0.0566
2021-02-24	0.0474
2021-02-23	0.0537
2021-02-22	0.056
2021-02-21	0.0544
2021-02-20	0.0551
2021-02-19	0.0594
2021-02-18	0.0494
2021-02-17	0.0535
2021-02-16	0.0565
2021-02-15	0.0626
2021-02-14	0.0664
2021-02-13	0.07
2021-02-12	0.0697
2021-02-11	0.0728
2021-02-10	0.0701
2021-02-09	0.0788
2021-02-08	0.0784
2021-02-07	0.0575
2021-02-06	0.0469
2021-02-05	0.053
2021-02-04	0.0372
2021-02-03	0.0315
2021-02-02	0.0349
2021-02-01	0.0371
2021-01-31	0.0282
2021-01-30	0.0468
2021-01-29	0.0437
2021-01-28	0.0075
2021-01-27	0.0083
2021-01-26	0.0084
2021-01-25	0.0087
2021-01-24	0.0086
2021-01-23	0.0085
2021-01-22	0.0082
2021-01-21	0.0091
2021-01-20	0.0091
2021-01-19	0.0092
2021-01-18	0.0091
2021-01-17	0.0093
2021-01-16	0.0094
2021-01-15	0.0094
2021-01-14	0.0086
2021-01-13	0.0081
2021-01-12	0.0088
2021-01-11	0.0099
2021-01-10	0.0102
2021-01-09	0.0098
2021-01-08	0.0097
2021-01-07	0.0105
2021-01-06	0.0099
2021-01-05	0.0098
2021-01-04	0.0098
2021-01-03	0.0106
2021-01-02	0.0057
2021-01-01	0.0047
2020-12-31	
2020-12-30	
2020-12-29	
2020-12-28	
2020-12-27	
2020-12-26	
2020-12-25	
2020-12-24	
2020-12-23	
2020-12-22	
2020-12-21	
2020-12-20	
2020-12-19	
2020-12-18	
2020-12-17	
2020-12-16	
2020-12-15	
2020-12-14	
2020-12-13	
2020-12-12	
2020-12-11	
2020-12-10	
2020-12-09	
2020-12-08	
2020-12-07	
2020-12-06	
2020-12-05	
2020-12-04	
2020-12-03	
2020-12-02	
2020-12-01	
2020-11-30	
2020-11-29	
2020-11-28	
2020-11-27	
2020-11-26	
2020-11-25	
2020-11-24	
2020-11-23	
2020-11-22	
2020-11-21	
2020-11-20	
2020-11-19	
2020-11-18	
2020-11-17	
2020-11-16	
2020-11-15	
2020-11-14	
2020-11-13	
2020-11-12	
2020-11-11	
2020-11-10	
2020-11-09	
2020-11-08	
2020-11-07	
2020-11-06	
2020-11-05	
2020-11-04	
