Date	DOT
2022-03-31	
2022-03-30	
2022-03-29	
2022-03-28	
2022-03-27	
2022-03-26	
2022-03-25	
2022-03-24	
2022-03-23	
2022-03-22	
2022-03-21	
2022-03-20	
2022-03-19	
2022-03-18	
2022-03-17	
2022-03-16	
2022-03-15	
2022-03-14	
2022-03-13	
2022-03-12	
2022-03-11	
2022-03-10	
2022-03-09	
2022-03-08	
2022-03-07	
2022-03-06	
2022-03-05	
2022-03-04	
2022-03-03	
2022-03-02	
2022-03-01	
2022-02-28	
2022-02-27	
2022-02-26	
2022-02-25	
2022-02-24	
2022-02-23	
2022-02-22	
2022-02-21	
2022-02-20	
2022-02-19	
2022-02-18	
2022-02-17	
2022-02-16	
2022-02-15	
2022-02-14	
2022-02-13	
2022-02-12	
2022-02-11	
2022-02-10	
2022-02-09	
2022-02-08	
2022-02-07	
2022-02-06	
2022-02-05	
2022-02-04	
2022-02-03	
2022-02-02	
2022-02-01	
2022-01-31	
2022-01-30	
2022-01-29	
2022-01-28	
2022-01-27	
2022-01-26	
2022-01-25	
2022-01-24	
2022-01-23	
2022-01-22	
2022-01-21	
2022-01-20	
2022-01-19	
2022-01-18	
2022-01-17	
2022-01-16	
2022-01-15	
2022-01-14	
2022-01-13	
2022-01-12	
2022-01-11	
2022-01-10	
2022-01-09	
2022-01-08	
2022-01-07	
2022-01-06	
2022-01-05	
2022-01-04	
2022-01-03	
2022-01-02	
2022-01-01	
2021-12-31	
2021-12-30	
2021-12-29	
2021-12-28	
2021-12-27	
2021-12-26	
2021-12-25	
2021-12-24	
2021-12-23	
2021-12-22	
2021-12-21	
2021-12-20	
2021-12-19	
2021-12-18	
2021-12-17	
2021-12-16	
2021-12-15	
2021-12-14	
2021-12-13	
2021-12-12	
2021-12-11	
2021-12-10	
2021-12-09	
2021-12-08	
2021-12-07	
2021-12-06	
2021-12-05	
2021-12-04	
2021-12-03	
2021-12-02	
2021-12-01	
2021-11-30	
2021-11-29	
2021-11-28	
2021-11-27	
2021-11-26	
2021-11-25	
2021-11-24	
2021-11-23	
2021-11-22	
2021-11-21	
2021-11-20	
2021-11-19	
2021-11-18	
2021-11-17	
2021-11-16	
2021-11-15	
2021-11-14	
2021-11-13	
2021-11-12	
2021-11-11	
2021-11-10	
2021-11-09	
2021-11-08	
2021-11-07	
2021-11-06	
2021-11-05	
2021-11-04	
2021-11-03	
2021-11-02	
2021-11-01	
2021-10-31	
2021-10-30	
2021-10-29	
2021-10-28	
2021-10-27	
2021-10-26	
2021-10-25	
2021-10-24	
2021-10-23	
2021-10-22	
2021-10-21	
2021-10-20	
2021-10-19	
2021-10-18	
2021-10-17	
2021-10-16	
2021-10-15	
2021-10-14	
2021-10-13	
2021-10-12	
2021-10-11	
2021-10-10	
2021-10-09	
2021-10-08	
2021-10-07	
2021-10-06	31.40
2021-10-05	
2021-10-04	
2021-10-03	
2021-10-02	
2021-10-01	
2021-09-30	
2021-09-29	
2021-09-28	
2021-09-27	
2021-09-26	
2021-09-25	
2021-09-24	
2021-09-23	
2021-09-22	
2021-09-21	28.3
2021-09-20	33.84
2021-09-19	34.85
2021-09-18	33.01
2021-09-17	35.53
2021-09-16	36.49
2021-09-15	37.38
2021-09-14	34.87
2021-09-13	35.87
2021-09-12	31.63
2021-09-11	29.18
2021-09-10	29.82
2021-09-09	27.21
2021-09-08	27.88
2021-09-07	34.33
2021-09-06	34.43
2021-09-05	32.38
2021-09-04	33.58
2021-09-03	31.8
2021-09-02	33.19
2021-09-01	31.45
2021-08-31	26.05
2021-08-30	25.73
2021-08-29	25.97
2021-08-28	26.57
2021-08-27	23.96
2021-08-26	26
2021-08-25	25.1
2021-08-24	27.93
2021-08-23	27.69
2021-08-22	27.89
2021-08-21	28.17
2021-08-20	26.55
2021-08-19	23.89
2021-08-18	23.52
2021-08-17	24.43
2021-08-16	23.17
2021-08-15	22.86
2021-08-14	22.73
2021-08-13	20.79
2021-08-12	21.38
2021-08-11	20.62
2021-08-10	20.58
2021-08-09	19.66
2021-08-08	20.97
2021-08-07	20.42
2021-08-06	19.13
2021-08-05	19.16
2021-08-04	17.42
2021-08-03	18.01
2021-08-02	18.43
2021-08-01	16.78
2021-07-31	15.8
2021-07-30	15.26
2021-07-29	14.53
2021-07-28	14.4
2021-07-27	13.93
2021-07-26	13.74
2021-07-25	13.78
2021-07-24	13.39
2021-07-23	13.17
2021-07-22	12.33
2021-07-21	10.96
2021-07-20	11.46
2021-07-19	12.66
2021-07-18	12.3
2021-07-17	12.03
2021-07-16	13.07
2021-07-15	13.81
2021-07-14	14.2
2021-07-13	14.86
2021-07-12	15.49
2021-07-11	15.28
2021-07-10	15.68
2021-07-09	15.31
2021-07-08	16.88
2021-07-07	16.14
2021-07-06	15.24
2021-07-05	16
2021-07-04	15.55
2021-07-03	15.32
2021-07-02	15.22
2021-07-01	16.41
2021-06-30	16.31
2021-06-29	15.78
2021-06-28	15.04
2021-06-27	14.52
2021-06-26	14.44
2021-06-25	16.23
2021-06-24	15.81
2021-06-23	14.66
2021-06-22	15.72
2021-06-21	20.64
2021-06-20	20.26
2021-06-19	21.45
2021-06-18	22.55
2021-06-17	23.02
2021-06-16	23.97
2021-06-15	25.19
2021-06-14	22.04
2021-06-13	20.76
2021-06-12	20.96
2021-06-11	22.68
2021-06-10	23.2
2021-06-09	21.66
2021-06-08	21.7
2021-06-07	24.2
2021-06-06	23.79
2021-06-05	25.02
2021-06-04	26.99
2021-06-03	25.94
2021-06-02	22.85
2021-06-01	23.3
2021-05-31	20.48
2021-05-30	19.86
2021-05-29	21.37
2021-05-28	23.98
2021-05-27	24.55
2021-05-26	22.19
2021-05-25	23.26
2021-05-24	17.92
2021-05-23	22.07
2021-05-22	24.47
2021-05-21	29.02
2021-05-20	25.06
2021-05-19	40.69
2021-05-18	38.63
2021-05-17	42.39
2021-05-16	43.53
2021-05-15	47.96
2021-05-14	39.97
2021-05-13	35.06
2021-05-12	38.65
2021-05-11	36.51
2021-05-10	40.3
2021-05-09	39.89
2021-05-08	39.88
2021-05-07	41.58
2021-05-06	40.44
2021-05-05	34.77
2021-05-04	37.26
2021-05-03	36.7
2021-05-02	36.9
2021-05-01	36.52
2021-04-30	35.98
2021-04-29	33.96
2021-04-28	34.79
2021-04-27	33.42
2021-04-26	29.81
2021-04-25	28.97
2021-04-24	32.26
2021-04-23	32.96
2021-04-22	33.79
2021-04-21	35.46
2021-04-20	34.72
2021-04-19	37.37
2021-04-18	42.56
2021-04-17	41.51
2021-04-16	43.47
2021-04-15	42.57
2021-04-14	42.9
2021-04-13	40.45
2021-04-12	41.42
2021-04-11	41.61
2021-04-10	40.83
2021-04-09	41.35
2021-04-08	39.63
2021-04-07	43.42
2021-04-06	45.81
2021-04-05	44.67
2021-04-04	41.61
2021-04-03	41.18
2021-04-02	37.63
2021-04-01	37.09
2021-03-31	34.08
2021-03-30	34.36
2021-03-29	32.29
2021-03-28	32.64
2021-03-27	33.2
2021-03-26	29.97
2021-03-25	30.36
2021-03-24	34.45
2021-03-23	35.51
2021-03-22	36.79
2021-03-21	37.36
2021-03-20	38.29
2021-03-19	35.5
2021-03-18	36.11
2021-03-17	35.44
2021-03-16	34.34
2021-03-15	36.56
2021-03-14	37.17
2021-03-13	35.99
2021-03-12	36.89
2021-03-11	37.54
2021-03-10	38.18
2021-03-09	34.93
2021-03-08	35.18
2021-03-07	33.43
2021-03-06	33.69
2021-03-05	35.32
2021-03-04	37.04
2021-03-03	36.16
2021-03-02	35.59
2021-03-01	33.64
2021-02-28	33.45
2021-02-27	31.4
2021-02-26	31.14
2021-02-25	33.62
2021-02-24	34.33
2021-02-23	37.66
2021-02-22	39.7
2021-02-21	39.17
2021-02-20	34.8
2021-02-19	31.19
2021-02-18	31.98
2021-02-17	30.16
2021-02-16	27.76
2021-02-15	27.06
2021-02-14	28.01
2021-02-13	28.69
2021-02-12	25.17
2021-02-11	23.59
2021-02-10	23.11
2021-02-09	23.03
2021-02-08	19.78
2021-02-07	20.39
2021-02-06	20.89
2021-02-05	19.69
2021-02-04	20.73
2021-02-03	17.25
2021-02-02	16.38
2021-02-01	16.12
2021-01-31	16.51
2021-01-30	16.84
2021-01-29	17.1
2021-01-28	15.5
2021-01-27	17.12
2021-01-26	17.24
2021-01-25	18
2021-01-24	18.6
2021-01-23	17.16
2021-01-22	15.93
2021-01-21	17.98
2021-01-20	16.45
2021-01-19	16.52
2021-01-18	17
2021-01-17	18.15
2021-01-16	13.2
2021-01-15	14.52
2021-01-14	10.95
2021-01-13	8.27
2021-01-12	8.27
2021-01-11	9.3
2021-01-10	9.78
2021-01-09	9.31
2021-01-08	9.65
2021-01-07	10.09
2021-01-06	9.71
2021-01-05	9.48
2021-01-04	10.06
2021-01-03	9.21
2021-01-02	8.31
2021-01-01	9.29
2020-12-31	
2020-12-30	
2020-12-29	
2020-12-28	
2020-12-27	
2020-12-26	
2020-12-25	
2020-12-24	
2020-12-23	
2020-12-22	
2020-12-21	
2020-12-20	
2020-12-19	
2020-12-18	
2020-12-17	
2020-12-16	
2020-12-15	
2020-12-14	
2020-12-13	
2020-12-12	
2020-12-11	
2020-12-10	
2020-12-09	
2020-12-08	
2020-12-07	
2020-12-06	
2020-12-05	
2020-12-04	
2020-12-03	
2020-12-02	
2020-12-01	
2020-11-30	
2020-11-29	
2020-11-28	
2020-11-27	
2020-11-26	
2020-11-25	
2020-11-24	
2020-11-23	
2020-11-22	
2020-11-21	
2020-11-20	
2020-11-19	
2020-11-18	
2020-11-17	
2020-11-16	
2020-11-15	
2020-11-14	
2020-11-13	
2020-11-12	
2020-11-11	
2020-11-10	
2020-11-09	
2020-11-08	
2020-11-07	
2020-11-06	
2020-11-05	
2020-11-04	
