Date	ETH
2022-03-31	
2022-03-30	
2022-03-29	
2022-03-28	
2022-03-27	
2022-03-26	
2022-03-25	
2022-03-24	
2022-03-23	
2022-03-22	
2022-03-21	
2022-03-20	
2022-03-19	
2022-03-18	
2022-03-17	
2022-03-16	
2022-03-15	
2022-03-14	
2022-03-13	
2022-03-12	
2022-03-11	
2022-03-10	
2022-03-09	
2022-03-08	
2022-03-07	
2022-03-06	
2022-03-05	
2022-03-04	
2022-03-03	
2022-03-02	
2022-03-01	2,919.78
2022-02-28	2,621.17
2022-02-27	2,780.50
2022-02-26	2,764.99
2022-02-25	2,598.44
2022-02-24	2,588.17
2022-02-23	2,639.45
2022-02-22	2,572.90
2022-02-21	2,627.67
2022-02-20	2,763.76
2022-02-19	2,784.87
2022-02-18	2,884.34
2022-02-17	3,126.86
2022-02-16	3,180.45
2022-02-15	2,933.73
2022-02-14	2,880.19
2022-02-13	2,916.79
2022-02-12	2,927.39
2022-02-11	3,077.41
2022-02-10	3,240.11
2022-02-09	3,121.18
2022-02-08	3,143.01
2022-02-07	3,057.42
2022-02-06	3,014.96
2022-02-05	2,984.45
2022-02-04	2,681.06
2022-02-03	2,682.23
2022-02-02	2,791.96
2022-02-01	2,687.90
2022-01-31	2,603.26
2022-01-30	2,598.56
2022-01-29	2,546.59
2022-01-28	2,421.65
2022-01-27	2,467.19
2022-01-26	2,455.58
2022-01-25	2,440.39
2022-01-24	2,535.89
2022-01-23	2,406.92
2022-01-22	2,561.15
2022-01-21	3,002.96
2022-01-20	3,095.27
2022-01-19	3,163.85
2022-01-18	3,212.29
2022-01-17	3,350.95
2022-01-16	3,330.39
2022-01-15	3,309.84
2022-01-14	3,248.65
2022-01-13	3,372.10
2022-01-12	3,238.45
2022-01-11	3,082.99
2022-01-10	3,157.57
2022-01-09	3,091.70
2022-01-08	3,193.50
2022-01-07	3,417.84
2022-01-06	3,549.71
2022-01-05	3,794.27
2022-01-04	3,761.36
2022-01-03	3,829.54
2022-01-02	3,769.30
2022-01-01	3,683.05
2021-12-31	3,713.43
2021-12-30	3,632.22
2021-12-29	3,797.44
2021-12-28	4,037.54
2021-12-27	4,064.75
2021-12-26	4,094.15
2021-12-25	4,049.78
2021-12-24	4,111.35
2021-12-23	3,981.96
2021-12-22	4,018.70
2021-12-21	3,938.46
2021-12-20	3,923.70
2021-12-19	3,960.87
2021-12-18	3,880.29
2021-12-17	3,959.01
2021-12-16	4,020.42
2021-12-15	3,862.25
2021-12-14	3,782.82
2021-12-13	4,136.36
2021-12-12	4,084.81
2021-12-11	3,909.67
2021-12-10	4,113.59
2021-12-09	4,433.02
2021-12-08	4,311.67
2021-12-07	4,358.59
2021-12-06	4,199.00
2021-12-05	4,119.63
2021-12-04	4,227.76
2021-12-03	4,514.36
2021-12-02	4,586.33
2021-12-01	4,623.68
2021-11-30	4,447.77
2021-11-29	4,296.95
2021-11-28	4,101.65
2021-11-27	4,043.00
2021-11-26	4,522.21
2021-11-25	4,271.39
2021-11-24	4,340.04
2021-11-23	4,089.68
2021-11-22	4,266.51
2021-11-21	4,412.20
2021-11-20	4,298.35
2021-11-19	3,995.73
2021-11-18	4,287.80
2021-11-17	4,213.91
2021-11-16	4,570.48
2021-11-15	4,627.09
2021-11-14	4,648.63
2021-11-13	4,666.72
2021-11-12	4,724.31
2021-11-11	4,635.45
2021-11-10	4,733.36
2021-11-09	4,810.07
2021-11-08	4,619.65
2021-11-07	4,523.98
2021-11-06	4,482.65
2021-11-05	4,537.42
2021-11-04	4,604.68
2021-11-03	4,589.68
2021-11-02	4,322.50
2021-11-01	4,288.22
2021-10-31	4,322.74
2021-10-30	4,414.24
2021-10-29	4,288.69
2021-10-28	3,924.82
2021-10-27	4,132.17
2021-10-26	4,217.34
2021-10-25	4,084.43
2021-10-24	4,171.86
2021-10-23	3,971.36
2021-10-22	4,055.69
2021-10-21	4,161.71
2021-10-20	3,877.73
2021-10-19	3,747.16
2021-10-18	3,847.73
2021-10-17	3,829.86
2021-10-16	3,865.67
2021-10-15	3,790.15
2021-10-14	3,604.96
2021-10-13	3,492.75
2021-10-12	3,546.48
2021-10-11	3,419.73
2021-10-10	3,575.02
2021-10-09	3,560.00
2021-10-08	3,587.83
2021-10-07	3,576.81
2021-10-06	3,516.57
2021-10-05	3,381.78
2021-10-04	3,418.78
2021-10-03	3,390.77
2021-10-02	3,308.87
2021-10-01	3,001.13
2021-09-30	2,852.56
2021-09-29	2,809.30
2021-09-28	2,928.96
2021-09-27	3,065.84
2021-09-26	2,926.34
2021-09-25	2,930.88
2021-09-24	3,154.56
2021-09-23	
2021-09-22	
2021-09-21	2,973.01
2021-09-20	3,329.67
2021-09-19	3,433.29
2021-09-18	3,397.42
2021-09-17	3,569.57
2021-09-16	3,613.07
2021-09-15	3,431.22
2021-09-14	3,286.32
2021-09-13	3,407.47
2021-09-12	3,270.29
2021-09-11	3,209.03
2021-09-10	3,425.56
2021-09-09	3,452.55
2021-09-08	3,428.38
2021-09-07	3,926.53
2021-09-06	3,951.52
2021-09-05	3,886.33
2021-09-04	3,937.91
2021-09-03	3,787.49
2021-09-02	3,825.03
2021-09-01	3,430.76
2021-08-31	3,227.76
2021-08-30	3,227.19
2021-08-29	3,246.77
2021-08-28	3,275.10
2021-08-27	3,096.41
2021-08-26	3,228.75
2021-08-25	3,174.27
2021-08-24	3,324.86
2021-08-23	3,241.36
2021-08-22	3,226.23
2021-08-21	3,286.93
2021-08-20	3,182.16
2021-08-19	3,019.13
2021-08-18	3,011.96
2021-08-17	3,149.38
2021-08-16	3,309.42
2021-08-15	3,266.28
2021-08-14	3,322.76
2021-08-13	3,049.00
2021-08-12	3,164.18
2021-08-11	3,142.83
2021-08-10	3,163.05
2021-08-09	3,012.89
2021-08-08	3,161.23
2021-08-07	2,891.71
2021-08-06	2,827.50
2021-08-05	2,725.67
2021-08-04	2,508.54
2021-08-03	2,609.41
2021-08-02	2,557.77
2021-08-01	2,530.46
2021-07-31	2,461.58
2021-07-30	2,382.55
2021-07-29	2,299.01
2021-07-28	2,302.08
2021-07-27	2,230.20
2021-07-26	2,191.31
2021-07-25	2,187.15
2021-07-24	2,123.96
2021-07-23	2,025.11
2021-07-22	1,994.82
2021-07-21	1,786.28
2021-07-20	1,819.08
2021-07-19	1,893.05
2021-07-18	1,900.19
2021-07-17	1,876.88
2021-07-16	1,916.60
2021-07-15	1,994.71
2021-07-14	1,941.17
2021-07-13	2,034.10
2021-07-12	2,140.51
2021-07-11	2,110.88
2021-07-10	2,147.00
2021-07-09	2,115.57
2021-07-08	2,317.95
2021-07-07	2,323.21
2021-07-06	2,197.92
2021-07-05	2,321.92
2021-07-04	2,226.55
2021-07-03	2,150.83
2021-07-02	2,109.89
2021-07-01	2,274.40
2021-06-30	2,164.22
2021-06-29	2,083.45
2021-06-28	1,981.39
2021-06-27	1,831.00
2021-06-26	1,810.88
2021-06-25	1,989.22
2021-06-24	1,968.96
2021-06-23	1,878.63
2021-06-22	1,886.67
2021-06-21	2,245.32
2021-06-20	2,171.34
2021-06-19	2,235.16
2021-06-18	2,374.59
2021-06-17	2,367.31
2021-06-16	2,544.86
2021-06-15	2,587.76
2021-06-14	2,508.77
2021-06-13	2,372.69
2021-06-12	2,354.75
2021-06-11	2,472.86
2021-06-10	2,611.14
2021-06-09	2,510.20
2021-06-08	2,594.60
2021-06-07	2,713.05
2021-06-06	2,629.75
2021-06-05	2,691.62
2021-06-04	2,857.17
2021-06-03	2,708.38
2021-06-02	2,634.46
2021-06-01	2,707.56
2021-05-31	2,387.20
2021-05-30	2,278.29
2021-05-29	2,414.07
2021-05-28	2,742.47
2021-05-27	2,888.75
2021-05-26	2,707.05
2021-05-25	2,649.03
2021-05-24	2,099.94
2021-05-23	2,298.37
2021-05-22	2,436.01
2021-05-21	2,772.34
2021-05-20	2,439.64
2021-05-19	3,382.66
2021-05-18	3,276.87
2021-05-17	3,581.34
2021-05-16	3,641.83
2021-05-15	4,075.95
2021-05-14	3,720.12
2021-05-13	3,828.92
2021-05-12	4,174.64
2021-05-11	3,948.27
2021-05-10	3,924.41
2021-05-09	3,911.46
2021-05-08	3,481.99
2021-05-07	3,490.11
2021-05-06	3,524.93
2021-05-05	3,240.55
2021-05-04	3,431.13
2021-05-03	2953.33
2021-05-02	2945.56
2021-05-01	2772.84
2021-04-30	2757.73
2021-04-29	2748.65
2021-04-28	2664.69
2021-04-27	2534.03
2021-04-26	2319.48
2021-04-25	2214.41
2021-04-24	2367.2
2021-04-23	2401.26
2021-04-22	2357.87
2021-04-21	2331.16
2021-04-20	2161.94
2021-04-19	2238.03
2021-04-18	2346.45
2021-04-17	2429.98
2021-04-16	2516.6
2021-04-15	2436.03
2021-04-14	2299.35
2021-04-13	2139.36
2021-04-12	2157.36
2021-04-11	2136.16
2021-04-10	2071.11
2021-04-09	2088.77
2021-04-08	1969.13
2021-04-07	2117.73
2021-04-06	2109.49
2021-04-05	2093.26
2021-04-04	2027.67
2021-04-03	2142.9
2021-04-02	1976.93
2021-04-01	1919.16
2021-03-31	1846.1
2021-03-30	1819.47
2021-03-29	1691.26
2021-03-28	1716.41
2021-03-27	1703.04
2021-03-26	1595.21
2021-03-25	1593.12
2021-03-24	1678
2021-03-23	1690.87
2021-03-22	1788.36
2021-03-21	1812.61
2021-03-20	1817.52
2021-03-19	1782.57
2021-03-18	1823.16
2021-03-17	1807.06
2021-03-16	1792.41
2021-03-15	1854.09
2021-03-14	1923.86
2021-03-13	1772.17
2021-03-12	1826.55
2021-03-11	1798.03
2021-03-10	1868.49
2021-03-09	1835.15
2021-03-08	1724.23
2021-03-07	1655.39
2021-03-06	1532.37
2021-03-05	1541.54
2021-03-04	1574.62
2021-03-03	1491.45
2021-03-02	1564.06
2021-03-01	1417.15
2021-02-28	1459.86
2021-02-27	1446.93
2021-02-26	1478.65
2021-02-25	1625.39
2021-02-24	1571.48
2021-02-23	1781.41
2021-02-22	1935.56
2021-02-21	1918.67
2021-02-20	1959.9
2021-02-19	1938.86
2021-02-18	1848.21
2021-02-17	1781.35
2021-02-16	1778.95
2021-02-15	1804.68
2021-02-14	1814.37
2021-02-13	1843.99
2021-02-12	1783.49
2021-02-11	1743.71
2021-02-10	1768.04
2021-02-09	1746.93
2021-02-08	1613.64
2021-02-07	1677.61
2021-02-06	1717.8
2021-02-05	1594.79
2021-02-04	1661.17
2021-02-03	1514.77
2021-02-02	1369.51
2021-02-01	1314.86
2021-01-31	1376.82
2021-01-30	1382.23
2021-01-29	1369.09
2021-01-28	1251.28
2021-01-27	1358.33
2021-01-26	1323.74
2021-01-25	1390.64
2021-01-24	1231.21
2021-01-23	1235.27
2021-01-22	1118.89
2021-01-21	1382.68
2021-01-20	1375.25
2021-01-19	1257.43
2021-01-18	1230.31
2021-01-17	1233.45
2021-01-16	1171.44
2021-01-15	1221.88
2021-01-14	1130.23
2021-01-13	1043.74
2021-01-12	1088.53
2021-01-11	1261.62
2021-01-10	1280.87
2021-01-09	1223.74
2021-01-08	1225.97
2021-01-07	1208.08
2021-01-06	1101.01
2021-01-05	1041.5
2021-01-04	977.06
2021-01-03	774.51
2021-01-02	730.4
2021-01-01	737.71
2020-12-31	
2020-12-30	
2020-12-29	
2020-12-28	
2020-12-27	
2020-12-26	
2020-12-25	
2020-12-24	
2020-12-23	
2020-12-22	
2020-12-21	
2020-12-20	
2020-12-19	
2020-12-18	
2020-12-17	
2020-12-16	
2020-12-15	
2020-12-14	
2020-12-13	
2020-12-12	
2020-12-11	
2020-12-10	
2020-12-09	
2020-12-08	
2020-12-07	
2020-12-06	
2020-12-05	
2020-12-04	
2020-12-03	
2020-12-02	
2020-12-01	
2020-11-30	
2020-11-29	
2020-11-28	
2020-11-27	
2020-11-26	
2020-11-25	
2020-11-24	
2020-11-23	
2020-11-22	
2020-11-21	
2020-11-20	
2020-11-19	
2020-11-18	
2020-11-17	
2020-11-16	
2020-11-15	
2020-11-14	
2020-11-13	
2020-11-12	
2020-11-11	
2020-11-10	
2020-11-09	
2020-11-08	
2020-11-07	
2020-11-06	
2020-11-05	
2020-11-04	
