Date	STORJ
2022-03-31	
2022-03-30	
2022-03-29	
2022-03-28	
2022-03-27	
2022-03-26	
2022-03-25	
2022-03-24	
2022-03-23	
2022-03-22	
2022-03-21	
2022-03-20	
2022-03-19	
2022-03-18	
2022-03-17	
2022-03-16	
2022-03-15	
2022-03-14	
2022-03-13	
2022-03-12	
2022-03-11	
2022-03-10	
2022-03-09	
2022-03-08	
2022-03-07	
2022-03-06	
2022-03-05	
2022-03-04	
2022-03-03	
2022-03-02	
2022-03-01	
2022-02-28	
2022-02-27	
2022-02-26	
2022-02-25	
2022-02-24	
2022-02-23	
2022-02-22	
2022-02-21	
2022-02-20	
2022-02-19	
2022-02-18	
2022-02-17	
2022-02-16	
2022-02-15	
2022-02-14	
2022-02-13	
2022-02-12	
2022-02-11	
2022-02-10	
2022-02-09	
2022-02-08	
2022-02-07	
2022-02-06	
2022-02-05	
2022-02-04	
2022-02-03	
2022-02-02	
2022-02-01	
2022-01-31	
2022-01-30	
2022-01-29	
2022-01-28	
2022-01-27	
2022-01-26	
2022-01-25	
2022-01-24	
2022-01-23	
2022-01-22	
2022-01-21	
2022-01-20	
2022-01-19	
2022-01-18	
2022-01-17	
2022-01-16	
2022-01-15	
2022-01-14	
2022-01-13	
2022-01-12	
2022-01-11	
2022-01-10	
2022-01-09	
2022-01-08	
2022-01-07	
2022-01-06	
2022-01-05	
2022-01-04	
2022-01-03	
2022-01-02	
2022-01-01	
2021-12-31	
2021-12-30	
2021-12-29	
2021-12-28	
2021-12-27	
2021-12-26	
2021-12-25	
2021-12-24	
2021-12-23	
2021-12-22	
2021-12-21	
2021-12-20	
2021-12-19	
2021-12-18	
2021-12-17	
2021-12-16	
2021-12-15	
2021-12-14	
2021-12-13	
2021-12-12	
2021-12-11	
2021-12-10	
2021-12-09	
2021-12-08	
2021-12-07	
2021-12-06	
2021-12-05	
2021-12-04	
2021-12-03	
2021-12-02	
2021-12-01	
2021-11-30	
2021-11-29	
2021-11-28	
2021-11-27	
2021-11-26	2.2054
2021-11-25	
2021-11-24	
2021-11-23	
2021-11-22	
2021-11-21	
2021-11-20	
2021-11-19	
2021-11-18	
2021-11-17	
2021-11-16	
2021-11-15	
2021-11-14	
2021-11-13	
2021-11-12	
2021-11-11	
2021-11-10	
2021-11-09	
2021-11-08	
2021-11-07	
2021-11-06	
2021-11-05	
2021-11-04	
2021-11-03	
2021-11-02	
2021-11-01	
2021-10-31	
2021-10-30	
2021-10-29	
2021-10-28	
2021-10-27	
2021-10-26	
2021-10-25	
2021-10-24	
2021-10-23	
2021-10-22	
2021-10-21	
2021-10-20	
2021-10-19	
2021-10-18	
2021-10-17	
2021-10-16	
2021-10-15	
2021-10-14	
2021-10-13	
2021-10-12	
2021-10-11	
2021-10-10	
2021-10-09	
2021-10-08	
2021-10-07	
2021-10-06	
2021-10-05	
2021-10-04	
2021-10-03	
2021-10-02	
2021-10-01	
2021-09-30	
2021-09-29	
2021-09-28	
2021-09-27	
2021-09-26	
2021-09-25	
2021-09-24	
2021-09-23	
2021-09-22	
2021-09-21	1.1422
2021-09-20	1.3425
2021-09-19	1.4013
2021-09-18	1.3772
2021-09-17	1.4296
2021-09-16	1.4785
2021-09-15	1.4190
2021-09-14	1.3595
2021-09-13	1.4755
2021-09-12	1.4318
2021-09-11	1.4321
2021-09-10	1.5825
2021-09-09	1.4424
2021-09-08	1.4352
2021-09-07	1.8074
2021-09-06	1.7126
2021-09-05	1.7310
2021-09-04	1.5794
2021-09-03	1.5277
2021-09-02	1.5160
2021-09-01	1.4733
2021-08-31	1.4719
2021-08-30	1.5930
2021-08-29	1.5253
2021-08-28	1.4630
2021-08-27	1.4039
2021-08-26	1.4026
2021-08-25	1.3172
2021-08-24	1.4100
2021-08-23	1.3395
2021-08-22	1.3445
2021-08-21	1.3056
2021-08-20	1.2600
2021-08-19	1.1894
2021-08-18	1.2233
2021-08-17	1.3201
2021-08-16	1.3466
2021-08-15	1.3517
2021-08-14	1.2610
2021-08-13	1.1648
2021-08-12	1.2210
2021-08-11	1.1724
2021-08-10	1.1629
2021-08-09	1.1175
2021-08-08	1.1752
2021-08-07	1.1510
2021-08-06	1.1022
2021-08-05	1.0914
2021-08-04	1.0142
2021-08-03	1.0322
2021-08-02	1.0396
2021-08-01	1.0422
2021-07-31	1.0184
2021-07-30	1.0063
2021-07-29	1.0182
2021-07-28	0.9255
2021-07-27	0.8581
2021-07-26	0.8361
2021-07-25	0.8304
2021-07-24	0.7980
2021-07-23	0.7855
2021-07-22	0.7662
2021-07-21	0.7042
2021-07-20	0.7742
2021-07-19	0.8099
2021-07-18	0.7918
2021-07-17	0.8056
2021-07-16	0.8886
2021-07-15	0.9334
2021-07-14	0.8903
2021-07-13	0.9235
2021-07-12	0.9503
2021-07-11	0.9476
2021-07-10	0.9932
2021-07-09	1.0666
2021-07-08	0.9704
2021-07-07	0.9591
2021-07-06	0.8848
2021-07-05	0.8650
2021-07-04	0.8661
2021-07-03	0.8550
2021-07-02	0.7965
2021-07-01	0.8431
2021-06-30	0.8875
2021-06-29	0.7106
2021-06-28	0.6555
2021-06-27	0.6286
2021-06-26	0.6115
2021-06-25	0.6799
2021-06-24	0.6604
2021-06-23	0.5767
2021-06-22	0.6227
2021-06-21	0.8219
2021-06-20	0.8272
2021-06-19	0.8327
2021-06-18	0.8935
2021-06-17	0.9029
2021-06-16	0.9696
2021-06-15	0.9912
2021-06-14	0.9478
2021-06-13	0.8958
2021-06-12	0.9369
2021-06-11	0.9848
2021-06-10	1.0211
2021-06-09	1.0020
2021-06-08	1.0282
2021-06-07	1.1551
2021-06-06	1.0630
2021-06-05	1.1132
2021-06-04	1.2191
2021-06-03	1.1948
2021-06-02	1.0564
2021-06-01	1.0936
2021-05-31	1.0162
2021-05-30	1.0159
2021-05-29	1.0576
2021-05-28	1.2058
2021-05-27	1.2882
2021-05-26	1.1046
2021-05-25	1.0882
2021-05-24	0.9052
2021-05-23	1.0358
2021-05-22	1.1186
2021-05-21	1.1954
2021-05-20	0.9701
2021-05-19	1.5419
2021-05-18	1.4960
2021-05-17	1.5889
2021-05-16	1.6224
2021-05-15	1.8005
2021-05-14	1.7008
2021-05-13	
2021-05-12	
2021-05-11	
2021-05-10	
2021-05-09	
2021-05-08	
2021-05-07	
2021-05-06	
2021-05-05	
2021-05-04	
2021-05-03	
2021-05-02	
2021-05-01	
2021-04-30	
2021-04-29	
2021-04-28	
2021-04-27	
2021-04-26	
2021-04-25	
2021-04-24	
2021-04-23	
2021-04-22	
2021-04-21	
2021-04-20	
2021-04-19	
2021-04-18	
2021-04-17	
2021-04-16	
2021-04-15	
2021-04-14	
2021-04-13	
2021-04-12	
2021-04-11	
2021-04-10	
2021-04-09	
2021-04-08	
2021-04-07	
2021-04-06	
2021-04-05	
2021-04-04	
2021-04-03	
2021-04-02	
2021-04-01	
2021-03-31	
2021-03-30	
2021-03-29	
2021-03-28	
2021-03-27	
2021-03-26	
2021-03-25	
2021-03-24	
2021-03-23	
2021-03-22	
2021-03-21	
2021-03-20	
2021-03-19	
2021-03-18	
2021-03-17	
2021-03-16	
2021-03-15	
2021-03-14	
2021-03-13	
2021-03-12	
2021-03-11	
2021-03-10	
2021-03-09	
2021-03-08	
2021-03-07	
2021-03-06	
2021-03-05	
2021-03-04	
2021-03-03	
2021-03-02	
2021-03-01	
2021-02-28	
2021-02-27	
2021-02-26	
2021-02-25	
2021-02-24	
2021-02-23	
2021-02-22	
2021-02-21	
2021-02-20	
2021-02-19	
2021-02-18	
2021-02-17	
2021-02-16	
2021-02-15	
2021-02-14	
2021-02-13	
2021-02-12	
2021-02-11	
2021-02-10	
2021-02-09	
2021-02-08	
2021-02-07	
2021-02-06	
2021-02-05	
2021-02-04	
2021-02-03	
2021-02-02	
2021-02-01	
2021-01-31	
2021-01-30	
2021-01-29	
2021-01-28	
2021-01-27	
2021-01-26	
2021-01-25	
2021-01-24	
2021-01-23	
2021-01-22	
2021-01-21	
2021-01-20	
2021-01-19	
2021-01-18	
2021-01-17	
2021-01-16	
2021-01-15	
2021-01-14	
2021-01-13	
2021-01-12	
2021-01-11	
2021-01-10	
2021-01-09	
2021-01-08	
2021-01-07	
2021-01-06	
2021-01-05	
2021-01-04	
2021-01-03	
2021-01-02	
2021-01-01	
2020-12-31	
2020-12-30	
2020-12-29	
2020-12-28	
2020-12-27	
2020-12-26	
2020-12-25	
2020-12-24	
2020-12-23	
2020-12-22	
2020-12-21	
2020-12-20	
2020-12-19	
2020-12-18	
2020-12-17	
2020-12-16	
2020-12-15	
2020-12-14	
2020-12-13	
2020-12-12	
2020-12-11	
2020-12-10	
2020-12-09	
2020-12-08	
2020-12-07	
2020-12-06	
2020-12-05	
2020-12-04	
2020-12-03	
2020-12-02	
2020-12-01	
2020-11-30	
2020-11-29	
2020-11-28	
2020-11-27	
2020-11-26	
2020-11-25	
2020-11-24	
2020-11-23	
2020-11-22	
2020-11-21	
2020-11-20	
2020-11-19	
2020-11-18	
2020-11-17	
2020-11-16	
2020-11-15	
2020-11-14	
2020-11-13	
2020-11-12	
2020-11-11	
2020-11-10	
2020-11-09	
2020-11-08	
2020-11-07	
2020-11-06	
2020-11-05	
2020-11-04	
