Date	XEM
2022-03-31	
2022-03-30	
2022-03-29	
2022-03-28	
2022-03-27	
2022-03-26	
2022-03-25	
2022-03-24	
2022-03-23	
2022-03-22	
2022-03-21	
2022-03-20	
2022-03-19	
2022-03-18	
2022-03-17	
2022-03-16	
2022-03-15	
2022-03-14	
2022-03-13	
2022-03-12	
2022-03-11	
2022-03-10	
2022-03-09	
2022-03-08	
2022-03-07	
2022-03-06	
2022-03-05	
2022-03-04	
2022-03-03	
2022-03-02	
2022-03-01	
2022-02-28	
2022-02-27	
2022-02-26	
2022-02-25	
2022-02-24	
2022-02-23	
2022-02-22	
2022-02-21	
2022-02-20	
2022-02-19	
2022-02-18	
2022-02-17	
2022-02-16	
2022-02-15	
2022-02-14	
2022-02-13	
2022-02-12	
2022-02-11	
2022-02-10	
2022-02-09	
2022-02-08	
2022-02-07	
2022-02-06	
2022-02-05	
2022-02-04	
2022-02-03	
2022-02-02	
2022-02-01	
2022-01-31	
2022-01-30	
2022-01-29	
2022-01-28	
2022-01-27	
2022-01-26	
2022-01-25	
2022-01-24	
2022-01-23	
2022-01-22	
2022-01-21	
2022-01-20	
2022-01-19	
2022-01-18	
2022-01-17	
2022-01-16	
2022-01-15	
2022-01-14	
2022-01-13	
2022-01-12	
2022-01-11	
2022-01-10	
2022-01-09	
2022-01-08	
2022-01-07	
2022-01-06	
2022-01-05	
2022-01-04	
2022-01-03	
2022-01-02	
2022-01-01	
2021-12-31	
2021-12-30	
2021-12-29	
2021-12-28	
2021-12-27	
2021-12-26	
2021-12-25	
2021-12-24	
2021-12-23	
2021-12-22	
2021-12-21	
2021-12-20	
2021-12-19	
2021-12-18	
2021-12-17	
2021-12-16	
2021-12-15	
2021-12-14	
2021-12-13	
2021-12-12	
2021-12-11	
2021-12-10	
2021-12-09	
2021-12-08	
2021-12-07	
2021-12-06	
2021-12-05	
2021-12-04	
2021-12-03	
2021-12-02	
2021-12-01	
2021-11-30	
2021-11-29	
2021-11-28	
2021-11-27	
2021-11-26	
2021-11-25	
2021-11-24	
2021-11-23	
2021-11-22	
2021-11-21	
2021-11-20	
2021-11-19	
2021-11-18	
2021-11-17	
2021-11-16	
2021-11-15	
2021-11-14	
2021-11-13	
2021-11-12	
2021-11-11	
2021-11-10	
2021-11-09	
2021-11-08	
2021-11-07	
2021-11-06	
2021-11-05	
2021-11-04	
2021-11-03	
2021-11-02	
2021-11-01	
2021-10-31	
2021-10-30	
2021-10-29	
2021-10-28	
2021-10-27	
2021-10-26	
2021-10-25	
2021-10-24	
2021-10-23	
2021-10-22	
2021-10-21	
2021-10-20	
2021-10-19	
2021-10-18	
2021-10-17	
2021-10-16	
2021-10-15	
2021-10-14	
2021-10-13	
2021-10-12	
2021-10-11	
2021-10-10	
2021-10-09	
2021-10-08	
2021-10-07	
2021-10-06	
2021-10-05	
2021-10-04	
2021-10-03	
2021-10-02	
2021-10-01	
2021-09-30	
2021-09-29	
2021-09-28	
2021-09-27	
2021-09-26	
2021-09-25	
2021-09-24	
2021-09-23	
2021-09-22	
2021-09-21	
2021-09-20	
2021-09-19	
2021-09-18	
2021-09-17	
2021-09-16	
2021-09-15	
2021-09-14	
2021-09-13	
2021-09-12	
2021-09-11	
2021-09-10	
2021-09-09	
2021-09-08	
2021-09-07	
2021-09-06	
2021-09-05	
2021-09-04	
2021-09-03	
2021-09-02	
2021-09-01	
2021-08-31	
2021-08-30	
2021-08-29	
2021-08-28	
2021-08-27	
2021-08-26	
2021-08-25	
2021-08-24	
2021-08-23	
2021-08-22	
2021-08-21	
2021-08-20	
2021-08-19	
2021-08-18	
2021-08-17	
2021-08-16	
2021-08-15	
2021-08-14	
2021-08-13	
2021-08-12	
2021-08-11	
2021-08-10	
2021-08-09	
2021-08-08	
2021-08-07	
2021-08-06	
2021-08-05	
2021-08-04	
2021-08-03	
2021-08-02	
2021-08-01	
2021-07-31	0.173255
2021-07-30	
2021-07-29	
2021-07-28	
2021-07-27	
2021-07-26	
2021-07-25	
2021-07-24	
2021-07-23	
2021-07-22	
2021-07-21	
2021-07-20	
2021-07-19	
2021-07-18	
2021-07-17	
2021-07-16	
2021-07-15	
2021-07-14	
2021-07-13	
2021-07-12	
2021-07-11	
2021-07-10	
2021-07-09	
2021-07-08	
2021-07-07	
2021-07-06	
2021-07-05	
2021-07-04	
2021-07-03	
2021-07-02	
2021-07-01	
2021-06-30	
2021-06-29	
2021-06-28	
2021-06-27	
2021-06-26	
2021-06-25	
2021-06-24	
2021-06-23	
2021-06-22	
2021-06-21	
2021-06-20	
2021-06-19	
2021-06-18	
2021-06-17	
2021-06-16	
2021-06-15	
2021-06-14	
2021-06-13	
2021-06-12	
2021-06-11	
2021-06-10	
2021-06-09	
2021-06-08	
2021-06-07	
2021-06-06	
2021-06-05	
2021-06-04	
2021-06-03	
2021-06-02	
2021-06-01	
2021-05-31	
2021-05-30	
2021-05-29	
2021-05-28	
2021-05-27	
2021-05-26	
2021-05-25	
2021-05-24	
2021-05-23	
2021-05-22	
2021-05-21	
2021-05-20	
2021-05-19	
2021-05-18	
2021-05-17	
2021-05-16	
2021-05-15	
2021-05-14	
2021-05-13	
2021-05-12	
2021-05-11	
2021-05-10	
2021-05-09	
2021-05-08	
2021-05-07	
2021-05-06	
2021-05-05	
2021-05-04	
2021-05-03	0.3403
2021-05-02	0.3512
2021-05-01	0.3526
2021-04-30	0.3351
2021-04-29	0.3334
2021-04-28	0.3472
2021-04-27	0.314
2021-04-26	0.2697
2021-04-25	0.2698
2021-04-24	0.2888
2021-04-23	0.2985
2021-04-22	0.3566
2021-04-21	0.3715
2021-04-20	0.3765
2021-04-19	0.4041
2021-04-18	0.4759
2021-04-17	0.4572
2021-04-16	0.4379
2021-04-15	0.418
2021-04-14	0.424
2021-04-13	0.4216
2021-04-12	0.4432
2021-04-11	0.4158
2021-04-10	0.4061
2021-04-09	0.4193
2021-04-08	0.3819
2021-04-07	0.4843
2021-04-06	0.427
2021-04-05	0.4162
2021-04-04	0.3888
2021-04-03	0.3823
2021-04-02	0.381
2021-04-01	0.383
2021-03-31	0.3951
2021-03-30	0.3834
2021-03-29	0.3702
2021-03-28	0.3527
2021-03-27	0.3529
2021-03-26	0.3304
2021-03-25	0.3431
2021-03-24	0.3686
2021-03-23	0.3673
2021-03-22	0.3726
2021-03-21	0.3699
2021-03-20	0.3842
2021-03-19	0.3786
2021-03-18	0.3959
2021-03-17	0.3934
2021-03-16	0.3722
2021-03-15	0.3312
2021-03-14	0.3621
2021-03-13	0.3848
2021-03-12	0.5874
2021-03-11	0.6075
2021-03-10	0.7004
2021-03-09	0.7084
2021-03-08	0.7089
2021-03-07	0.7409
2021-03-06	0.7237
2021-03-05	0.7011
2021-03-04	0.7924
2021-03-03	0.7651
2021-03-02	0.6565
2021-03-01	0.608
2021-02-28	0.583
2021-02-27	0.5136
2021-02-26	0.4981
2021-02-25	0.5349
2021-02-24	0.5385
2021-02-23	0.7079
2021-02-22	0.5664
2021-02-21	0.5082
2021-02-20	0.5231
2021-02-19	0.4361
2021-02-18	0.3966
2021-02-17	0.3803
2021-02-16	0.3824
2021-02-15	0.3688
2021-02-14	0.3981
2021-02-13	0.3988
2021-02-12	0.398
2021-02-11	0.37
2021-02-10	0.3324
2021-02-09	0.323
2021-02-08	0.3067
2021-02-07	0.2741
2021-02-06	0.2853
2021-02-05	0.2649
2021-02-04	0.2842
2021-02-03	0.274
2021-02-02	0.2642
2021-02-01	0.2347
2021-01-31	0.2308
2021-01-30	0.2343
2021-01-29	0.2395
2021-01-28	0.2325
2021-01-27	0.2454
2021-01-26	0.2224
2021-01-25	0.2145
2021-01-24	0.2159
2021-01-23	0.2164
2021-01-22	0.2123
2021-01-21	0.2399
2021-01-20	0.247
2021-01-19	0.2353
2021-01-18	0.2235
2021-01-17	0.2186
2021-01-16	0.2143
2021-01-15	0.2274
2021-01-14	0.2289
2021-01-13	0.2134
2021-01-12	0.2134
2021-01-11	0.2353
2021-01-10	0.2413
2021-01-09	0.2339
2021-01-08	0.2473
2021-01-07	0.2581
2021-01-06	0.206
2021-01-05	0.205
2021-01-04	0.2115
2021-01-03	0.2032
2021-01-02	0.2221
2021-01-01	0.2055
2020-12-31	
2020-12-30	
2020-12-29	
2020-12-28	
2020-12-27	
2020-12-26	
2020-12-25	
2020-12-24	
2020-12-23	
2020-12-22	
2020-12-21	
2020-12-20	
2020-12-19	
2020-12-18	
2020-12-17	
2020-12-16	
2020-12-15	
2020-12-14	
2020-12-13	
2020-12-12	
2020-12-11	
2020-12-10	
2020-12-09	
2020-12-08	
2020-12-07	
2020-12-06	
2020-12-05	
2020-12-04	
2020-12-03	
2020-12-02	
2020-12-01	
2020-11-30	
2020-11-29	
2020-11-28	
2020-11-27	
2020-11-26	
2020-11-25	
2020-11-24	
2020-11-23	
2020-11-22	
2020-11-21	
2020-11-20	
2020-11-19	
2020-11-18	
2020-11-17	
2020-11-16	
2020-11-15	
2020-11-14	
2020-11-13	
2020-11-12	
2020-11-11	
2020-11-10	
2020-11-09	
2020-11-08	
2020-11-07	
2020-11-06	
2020-11-05	
2020-11-04	
