Date	XRP
2022-03-31	
2022-03-30	
2022-03-29	
2022-03-28	
2022-03-27	
2022-03-26	
2022-03-25	
2022-03-24	
2022-03-23	
2022-03-22	
2022-03-21	
2022-03-20	
2022-03-19	
2022-03-18	
2022-03-17	
2022-03-16	
2022-03-15	
2022-03-14	
2022-03-13	
2022-03-12	
2022-03-11	
2022-03-10	
2022-03-09	
2022-03-08	
2022-03-07	
2022-03-06	
2022-03-05	
2022-03-04	
2022-03-03	
2022-03-02	
2022-03-01	
2022-02-28	
2022-02-27	
2022-02-26	
2022-02-25	
2022-02-24	
2022-02-23	
2022-02-22	
2022-02-21	
2022-02-20	
2022-02-19	
2022-02-18	
2022-02-17	
2022-02-16	
2022-02-15	
2022-02-14	
2022-02-13	
2022-02-12	
2022-02-11	
2022-02-10	
2022-02-09	
2022-02-08	
2022-02-07	
2022-02-06	
2022-02-05	
2022-02-04	
2022-02-03	
2022-02-02	
2022-02-01	
2022-01-31	
2022-01-30	
2022-01-29	
2022-01-28	
2022-01-27	
2022-01-26	
2022-01-25	
2022-01-24	
2022-01-23	
2022-01-22	
2022-01-21	
2022-01-20	
2022-01-19	
2022-01-18	
2022-01-17	
2022-01-16	
2022-01-15	
2022-01-14	
2022-01-13	
2022-01-12	
2022-01-11	
2022-01-10	
2022-01-09	
2022-01-08	
2022-01-07	
2022-01-06	
2022-01-05	
2022-01-04	
2022-01-03	
2022-01-02	
2022-01-01	
2021-12-31	
2021-12-30	
2021-12-29	
2021-12-28	
2021-12-27	
2021-12-26	
2021-12-25	
2021-12-24	
2021-12-23	
2021-12-22	
2021-12-21	
2021-12-20	
2021-12-19	
2021-12-18	
2021-12-17	
2021-12-16	
2021-12-15	
2021-12-14	
2021-12-13	
2021-12-12	
2021-12-11	
2021-12-10	
2021-12-09	
2021-12-08	
2021-12-07	
2021-12-06	
2021-12-05	
2021-12-04	0.924092
2021-12-03	
2021-12-02	
2021-12-01	
2021-11-30	
2021-11-29	
2021-11-28	
2021-11-27	
2021-11-26	
2021-11-25	
2021-11-24	
2021-11-23	
2021-11-22	
2021-11-21	
2021-11-20	
2021-11-19	
2021-11-18	
2021-11-17	
2021-11-16	
2021-11-15	
2021-11-14	
2021-11-13	
2021-11-12	
2021-11-11	
2021-11-10	
2021-11-09	
2021-11-08	
2021-11-07	
2021-11-06	
2021-11-05	
2021-11-04	
2021-11-03	
2021-11-02	
2021-11-01	
2021-10-31	
2021-10-30	
2021-10-29	
2021-10-28	
2021-10-27	
2021-10-26	
2021-10-25	
2021-10-24	
2021-10-23	
2021-10-22	
2021-10-21	
2021-10-20	
2021-10-19	
2021-10-18	
2021-10-17	
2021-10-16	
2021-10-15	
2021-10-14	
2021-10-13	
2021-10-12	
2021-10-11	
2021-10-10	
2021-10-09	
2021-10-08	
2021-10-07	
2021-10-06	
2021-10-05	
2021-10-04	
2021-10-03	
2021-10-02	
2021-10-01	
2021-09-30	
2021-09-29	
2021-09-28	
2021-09-27	
2021-09-26	
2021-09-25	
2021-09-24	
2021-09-23	
2021-09-22	
2021-09-21	
2021-09-20	
2021-09-19	
2021-09-18	
2021-09-17	
2021-09-16	
2021-09-15	
2021-09-14	
2021-09-13	
2021-09-12	
2021-09-11	
2021-09-10	
2021-09-09	
2021-09-08	
2021-09-07	
2021-09-06	
2021-09-05	
2021-09-04	
2021-09-03	
2021-09-02	
2021-09-01	
2021-08-31	
2021-08-30	
2021-08-29	
2021-08-28	
2021-08-27	
2021-08-26	
2021-08-25	
2021-08-24	
2021-08-23	
2021-08-22	
2021-08-21	
2021-08-20	
2021-08-19	
2021-08-18	
2021-08-17	
2021-08-16	
2021-08-15	
2021-08-14	
2021-08-13	
2021-08-12	
2021-08-11	
2021-08-10	
2021-08-09	
2021-08-08	
2021-08-07	
2021-08-06	
2021-08-05	
2021-08-04	
2021-08-03	
2021-08-02	
2021-08-01	
2021-07-31	
2021-07-30	
2021-07-29	
2021-07-28	
2021-07-27	
2021-07-26	
2021-07-25	
2021-07-24	
2021-07-23	
2021-07-22	
2021-07-21	
2021-07-20	
2021-07-19	
2021-07-18	
2021-07-17	
2021-07-16	
2021-07-15	
2021-07-14	
2021-07-13	
2021-07-12	
2021-07-11	
2021-07-10	
2021-07-09	
2021-07-08	
2021-07-07	
2021-07-06	
2021-07-05	
2021-07-04	
2021-07-03	
2021-07-02	
2021-07-01	
2021-06-30	
2021-06-29	
2021-06-28	
2021-06-27	
2021-06-26	
2021-06-25	
2021-06-24	
2021-06-23	
2021-06-22	
2021-06-21	
2021-06-20	
2021-06-19	
2021-06-18	
2021-06-17	
2021-06-16	
2021-06-15	
2021-06-14	
2021-06-13	
2021-06-12	
2021-06-11	
2021-06-10	
2021-06-09	
2021-06-08	
2021-06-07	
2021-06-06	
2021-06-05	
2021-06-04	
2021-06-03	
2021-06-02	
2021-06-01	
2021-05-31	
2021-05-30	
2021-05-29	
2021-05-28	
2021-05-27	
2021-05-26	
2021-05-25	
2021-05-24	
2021-05-23	
2021-05-22	
2021-05-21	
2021-05-20	
2021-05-19	
2021-05-18	
2021-05-17	
2021-05-16	
2021-05-15	
2021-05-14	
2021-05-13	
2021-05-12	
2021-05-11	
2021-05-10	
2021-05-09	
2021-05-08	
2021-05-07	
2021-05-06	
2021-05-05	
2021-05-04	
2021-05-03	1.555
2021-05-02	1.652
2021-05-01	1.5984
2021-04-30	1.3985
2021-04-29	1.358
2021-04-28	1.4016
2021-04-27	1.3667
2021-04-26	1.0352
2021-04-25	1.0495
2021-04-24	1.1702
2021-04-23	1.1571
2021-04-22	1.2918
2021-04-21	1.3862
2021-04-20	1.31
2021-04-19	1.4095
2021-04-18	1.5591
2021-04-17	1.553
2021-04-16	1.7593
2021-04-15	1.8373
2021-04-14	1.7942
2021-04-13	1.4701
2021-04-12	1.354
2021-04-11	1.3721
2021-04-10	1.0203
2021-04-09	1.0534
2021-04-08	0.9191
2021-04-07	1.0975
2021-04-06	0.9169
2021-04-05	0.6467
2021-04-04	0.5909
2021-04-03	0.6168
2021-04-02	0.5794
2021-04-01	0.574
2021-03-31	0.5668
2021-03-30	0.5677
2021-03-29	0.5506
2021-03-28	0.5504
2021-03-27	0.5672
2021-03-26	0.5174
2021-03-25	0.4882
2021-03-24	0.5563
2021-03-23	0.5501
2021-03-22	0.5198
2021-03-21	0.5274
2021-03-20	0.4711
2021-03-19	0.4728
2021-03-18	0.4724
2021-03-17	0.4628
2021-03-16	0.4375
2021-03-15	0.4421
2021-03-14	0.4596
2021-03-13	0.4411
2021-03-12	0.453
2021-03-11	0.463
2021-03-10	0.4859
2021-03-09	0.4737
2021-03-08	0.4669
2021-03-07	0.4651
2021-03-06	0.4579
2021-03-05	0.4858
2021-03-04	0.4501
2021-03-03	0.4369
2021-03-02	0.4465
2021-03-01	0.4151
2021-02-28	0.4378
2021-02-27	0.4279
2021-02-26	0.4349
2021-02-25	0.4718
2021-02-24	0.4742
2021-02-23	0.571
2021-02-22	0.5483
2021-02-21	0.5169
2021-02-20	0.5669
2021-02-19	0.5326
2021-02-18	0.5351
2021-02-17	0.5208
2021-02-16	0.5486
2021-02-15	0.5935
2021-02-14	0.6284
2021-02-13	0.6081
2021-02-12	0.5246
2021-02-11	0.5031
2021-02-10	0.4719
2021-02-09	0.4477
2021-02-08	0.4178
2021-02-07	0.4391
2021-02-06	0.4502
2021-02-05	0.4453
2021-02-04	0.3934
2021-02-03	0.3694
2021-02-02	0.3705
2021-02-01	0.4925
2021-01-31	0.4378
2021-01-30	0.2822
2021-01-29	0.2705
2021-01-28	0.2519
2021-01-27	0.2689
2021-01-26	0.269
2021-01-25	0.2735
2021-01-24	0.2718
2021-01-23	0.2726
2021-01-22	0.2688
2021-01-21	0.2965
2021-01-20	0.2942
2021-01-19	0.2848
2021-01-18	0.2774
2021-01-17	0.2801
2021-01-16	0.2803
2021-01-15	0.2956
2021-01-14	0.3055
2021-01-13	0.292
2021-01-12	0.2887
2021-01-11	0.3179
2021-01-10	0.3268
2021-01-09	0.3232
2021-01-08	0.3261
2021-01-07	0.2509
2021-01-06	0.2269
2021-01-05	0.2366
2021-01-04	0.226
2021-01-03	0.2217
2021-01-02	0.2377
2021-01-01	0.2198
2020-12-31	
2020-12-30	
2020-12-29	
2020-12-28	
2020-12-27	
2020-12-26	
2020-12-25	
2020-12-24	
2020-12-23	
2020-12-22	
2020-12-21	
2020-12-20	
2020-12-19	
2020-12-18	
2020-12-17	
2020-12-16	
2020-12-15	
2020-12-14	
2020-12-13	
2020-12-12	
2020-12-11	
2020-12-10	
2020-12-09	
2020-12-08	
2020-12-07	
2020-12-06	
2020-12-05	
2020-12-04	
2020-12-03	
2020-12-02	
2020-12-01	
2020-11-30	
2020-11-29	
2020-11-28	
2020-11-27	
2020-11-26	
2020-11-25	
2020-11-24	
2020-11-23	
2020-11-22	
2020-11-21	
2020-11-20	
2020-11-19	
2020-11-18	
2020-11-17	
2020-11-16	
2020-11-15	
2020-11-14	
2020-11-13	
2020-11-12	
2020-11-11	
2020-11-10	
2020-11-09	
2020-11-08	
2020-11-07	
2020-11-06	
2020-11-05	
2020-11-04	
